low,high,range,size,merge_time,count_time,comb_time,shell_time,heap_time,binary_insertion_time
483,8047,7564,411,5.920886993408203,2.727985382080078,19.59681510925293,13.911962509155273,4.192113876342773,2.691030502319336
6245,7109,864,1303,151.92294120788574,22.476911544799805,473.160982131958,230.64184188842773,15.885114669799805,19.964933395385742
7249,7873,624,1644,68.9690113067627,29.998064041137695,568.0592060089111,343.46508979797363,21.892070770263672,33.332109451293945
4310,9109,4799,1873,91.01605415344238,29.748916625976562,742.2068119049072,450.376033782959,25.635957717895508,42.864084243774414
665,2085,1420,2104,109.90715026855469,77.69298553466797,974.7090339660645,582.8819274902344,27.476072311401367,51.17201805114746
3840,4463,623,2331,108.22010040283203,28.112173080444336,663.6579036712646,434.9820613861084,28.755903244018555,56.07438087463379
4298,8977,4679,3070,249.7859001159668,81.21275901794434,2208.537817001343,1412.470817565918,41.31317138671875,118.48616600036621
1726,4923,3197,3265,189.6226406097412,99.78866577148438,2131.9992542266846,1433.657169342041,42.86694526672363,112.18690872192383
597,4899,4302,3733,397.92418479919434,118.33906173706055,3099.3599891662598,2167.064905166626,57.53803253173828,194.4119930267334
2692,9466,6774,4283,483.2158088684082,149.4579315185547,3947.7689266204834,2537.5239849090576,60.85920333862305,212.36300468444824
